MONTH_OF_SALE,PARENT_DEALER_CODE_MODEL_FAMILY,PARENT_DEALER_CODE,UNIQUE_FAMILY_CODE,SKU,NUM_ACTIVE_SKUS,PREDICTED_SALES_TFT,PERCENT_PROPORTION,PREDICTED_SALES_SKU_TFT,DEALER_SKU_SALES,FAMILY_TOTAL_SALES,NO_HISTORY_FLAG
2026-02-01,10353<>SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,10353,SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,HSPLMIRSCFIBHG,4,186.13,0.00318,0.5928,1.0,314.0,False
2026-01-01,10353<>SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,10353,SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,HSPLMDRSCFIBHG,4,196.9,0.68821,135.5076,671.0,975.0,False
2026-04-01,10353<>SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,10353,SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,HSPLMIRSCFIBBK,4,244.82,0.25,61.205,0.0,0.0,True
2026-02-01,10353<>SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,10353,SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,HSPLMDRSCFIBBK,4,186.13,0.01911,3.5566,6.0,314.0,False
2026-04-01,10353<>SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,10353,SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,HSPLMDRSCFIBHG,4,244.82,0.90798,222.2906,296.0,326.0,False
2026-01-01,10353<>SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,10353,SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,HSPLMIRSCFIBHG,4,196.9,0.02564,5.0487,25.0,975.0,False
2026-03-01,10353<>SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,10353,SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,HSPLMDRSCFIBBK,4,214.88,0.01498,3.2192,4.0,267.0,False
2026-04-01,10353<>SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,10353,SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,HSPLMIRSCFIBHG,4,244.82,0.25,61.205,0.0,0.0,True
2026-03-01,10353<>SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,10353,SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,HSPLMIRSCFIBHG,4,214.88,0.25,53.72,0.0,0.0,True
2026-02-01,10353<>SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,10353,SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,HSPLMIRSCFIBBK,4,186.13,0.25,46.5325,0.0,0.0,True
2026-01-01,10353<>SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,10353,SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,HSPLMDRSCFIBBK,4,196.9,0.03282,6.4624,32.0,975.0,False
2026-03-01,10353<>SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,10353,SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,HSPLMDRSCFIBHG,4,214.88,0.82397,177.0547,220.0,267.0,False
2026-02-01,10353<>SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,10353,SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,HSPLMDRSCFIBHG,4,186.13,0.79618,148.1927,250.0,314.0,False
2026-04-01,10353<>SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,10353,SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,HSPLMDRSCFIBBK,4,244.82,0.01227,3.0039,4.0,326.0,False
2026-01-01,10353<>SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,10353,SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,HSPLMIRSCFIBBK,4,196.9,0.25,49.225,0.0,0.0,True
2026-03-01,10353<>SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,10353,SPLENDOR+<>DRUM<>SELF<>CAST<>BLACK,HSPLMIRSCFIBBK,4,214.88,0.25,53.72,0.0,0.0,True
